iso3,country,who_region,who_region_code,scenario,total_sugar_change_by_2030,forecast_year,forecast_obesity_pct,input_year,predicted_obesity_change_3yr,predicted_annualized_change,sugar_supply_kg_per_capita_assumption,sugar_supply_kcal_per_capita_day_assumption,model_name,model_type
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2025,24.75051034221675,2024,1.8567162542565065,0.6189054180855021,54.41642857142857,266.7267142857143,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2026,25.394078601816496,2025,1.9307047787992375,0.6435682595997458,54.79964285714285,268.6050714285714,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2027,26.064351479363157,2026,2.010818632639988,0.6702728775466626,55.18285714285714,270.4834285714286,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2028,26.763551651328058,2027,2.0976005158946984,0.6992001719648995,55.56607142857143,272.36178571428576,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2029,27.49413798877341,2028,2.191759012336053,0.730586337445351,55.949285714285715,274.2401428571429,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2030,28.2587817930888,2029,2.2939314129461774,0.7646438043153925,56.3325,276.11850000000004,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2024,24.131604924131246,2023,1.7877507723937311,0.5959169241312438,52.88357142857143,259.21328571428575,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2025,24.750779624219177,2024,1.8575241002637963,0.6191747000879321,52.11714285714285,255.45657142857146,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2026,25.39468779672523,2025,1.931724517518154,0.6439081725060514,51.35071428571429,251.69985714285718,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2027,26.064956074703304,2026,2.0108048339342246,0.6702682779780749,50.58428571428571,247.94314285714287,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2028,26.763404464167966,2027,2.0953451683939845,0.6984483894646615,49.81785714285714,244.1864285714286,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2029,27.49202385119486,2028,2.185858161080672,0.7286193870268907,49.051428571428566,240.4297142857143,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2030,28.25297549266774,2029,2.282854924418648,0.7609516414728826,48.285,236.67300000000003,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar -2% by 2030,-0.02,2024,24.131604924131246,2023,1.7877507723937311,0.5959169241312438,53.49671428571428,262.2186571428572,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar -2% by 2030,-0.02,2025,24.750636007151215,2024,1.8570932490599086,0.6190310830199696,53.343428571428575,261.46731428571434,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar -2% by 2030,-0.02,2026,25.394362892773902,2025,1.9311806568680607,0.6437268856226869,53.19014285714286,260.71597142857144,linear_regression,sugar_sensitivity_model
